lga_name18,state,tot_rsn_vis_000_holiday
Gold Coast (C),Queensland,6769.0
Sunshine Coast (R),Queensland,3745.0
Mornington Peninsula (S),Victoria,3475.0
Blue Mountains (C),New South Wales,2332.0
Central Coast (C) (NSW),New South Wales,2060.0
Greater Geelong (C),Victoria,1932.0
Yarra Ranges (S),Victoria,1919.0
Wollongong (C),New South Wales,1780.0
Moreton Bay (R),Queensland,1778.0
Cairns (R),Queensland,1718.0
Shoalhaven (C),New South Wales,1665.0
Surf Coast (S),Victoria,1623.0
Bass Coast (S),Victoria,1500.0
Byron (A),New South Wales,1478.0
Noosa (S),Queensland,1434.0
Newcastle (C),New South Wales,1415.0
Mid-Coast (A),New South Wales,1156.0
Mandurah (C),Western Australia,1057.0
Scenic Rim (R),Queensland,1057.0
Greater Bendigo (C),Victoria,1028.0
Tweed (A),New South Wales,1018.0
Busselton (C),Western Australia,1017.0
Ballarat (C),Victoria,1010.0
Toowoomba (R),Queensland,995.0
Port Stephens (A),New South Wales,954.0
Townsville (C),Queensland,906.0
Wingecarribee (A),New South Wales,880.0
Eurobodalla (A),New South Wales,873.0
Augusta-Margaret River (S),Western Australia,864.0
Launceston (C),Tasmania,863.0
Victor Harbor (C),South Australia,812.0
Fraser Coast (R),Queensland,796.0
Snowy Monaro Regional (A),New South Wales,785.0
Coffs Harbour (C),New South Wales,763.0
Kiama (A),New South Wales,762.0
Port Macquarie-Hastings (A),New South Wales,751.0
Hepburn (S),Victoria,732.0
Whitsunday (R),Queensland,719.0
East Gippsland (S),Victoria,690.0
Gympie (R),Queensland,678.0
Murrindindi (S),Victoria,637.0
Colac-Otway (S),Victoria,632.0
Cessnock (C),New South Wales,630.0
Bunbury (C),Western Australia,607.0
South Gippsland (S),Victoria,600.0
Lake Macquarie (C),New South Wales,565.0
Clarence Valley (A),New South Wales,548.0
Bega Valley (A),New South Wales,541.0
Douglas (S),Queensland,541.0
Barossa (DC),South Australia,539.0
