travel_type,market,measure,unit,state,state_abbrev,year,annual_value,annual_method,source
Overnight,All overnight,Trips,000 trips,Australia,AUS,2019,109622.553,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Australia,AUS,2020,84428.888,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Australia,AUS,2021,92030.466,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Australia,AUS,2022,110481.501,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Australia,AUS,2023,113111.444,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Australia,AUS,2024,112774.305,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,2019,39061.222,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,2020,29959.132,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,2021,28169.315,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,2022,37973.257,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,2023,39613.188,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,New South Wales,NSW,2024,39380.439,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Victoria,VIC,2019,31170.958,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Victoria,VIC,2020,19360.549,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Victoria,VIC,2021,23198.622,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Victoria,VIC,2022,30541.646,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Victoria,VIC,2023,31138.333,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Victoria,VIC,2024,31287.991,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Queensland,QLD,2019,24741.501,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Queensland,QLD,2020,19966.928,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Queensland,QLD,2021,22986.823,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Queensland,QLD,2022,25793.091,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Queensland,QLD,2023,26255.556,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Queensland,QLD,2024,25902.081,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,South Australia,SA,2019,7107.796,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,South Australia,SA,2020,6097.229,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,South Australia,SA,2021,7129.703,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,South Australia,SA,2022,7621.913,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,South Australia,SA,2023,7749.508,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,South Australia,SA,2024,7898.007,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Western Australia,WA,2019,8740.838,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Western Australia,WA,2020,8107.388,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Western Australia,WA,2021,9276.542,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Western Australia,WA,2022,9507.025,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Western Australia,WA,2023,9705.725,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Western Australia,WA,2024,9729.545,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Tasmania,TAS,2019,2587.769,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Tasmania,TAS,2020,2046.275,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Tasmania,TAS,2021,2592.416,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
Overnight,All overnight,Trips,000 trips,Tasmania,TAS,2022,2897.862,sum of four quarters,Tourism Research Australia: Domestic Tourism Statistics
