state,reason,visitors
New South Wales,Holiday,15489
New South Wales,Visiting friends/relatives,9696
New South Wales,Business,2718
New South Wales,Other,1854
Northern Territory,Holiday,1032
Northern Territory,Visiting friends/relatives,315
Northern Territory,Business,93
Northern Territory,Other,0
Queensland,Holiday,18345
Queensland,Visiting friends/relatives,7407
Queensland,Business,2052
Queensland,Other,3541
South Australia,Holiday,3549
South Australia,Visiting friends/relatives,2103
South Australia,Business,603
South Australia,Other,0
Tasmania,Holiday,2032
Tasmania,Visiting friends/relatives,684
Tasmania,Business,168
Tasmania,Other,354
Victoria,Holiday,12303
Victoria,Visiting friends/relatives,9147
Victoria,Business,2265
Victoria,Other,1740
Western Australia,Holiday,5106
Western Australia,Visiting friends/relatives,3192
Western Australia,Business,903
Western Australia,Other,645
